 Paper Publish Year,DOI,Carbohydrate/Protein Mimetic,Category ,Mimic of which Protein/Carbohydrate,Name of the Mimetic,Functions,Activity
2007,https://doi.org/10.1002/chem.200700787,Carbohydrate,Oligomannoside mimetic,α(1→3)/α(1→6)-linked trimannose,"Methyl 3,6-di-O-(6-{3,6-di-O-[6-(a-d-mannopyranosyloxy)-4-thiahexyl]- a-d-mannopyranosyloxy}-4-thiahexyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,https://doi.org/10.1002/chem.200700787,Carbohydrate,Oligomannoside mimetic,α-mannose glycans,"Methyl 3,6-di-O-(6-{3,6-di-O-[6-(a-d-mannopyranosyloxy)-4,4-dioxo-4- thiahexyl]-a-d-mannopyranosyloxy}-4,4-dioxo-4-thiahexyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,https://doi.org/10.2174/138161207779313678,Carbohydrate,peptide,mannose,YRY – the peptide 911,inhibit binding of gp120 to dendritic cells,HIV-1 Infection:Mimics HIV gp120 glycans to elicit cross-reactive antibodies. Used in vaccine development to neutralize viral entry and enhance immune recognition
2007,https://doi.org/10.2174/138161207779313678,Carbohydrate,cyclic form,mannose,YRY –cyclic form D002,inhibit binding of gp120 to dendritic cells,HIV-1 Infection:Mimics HIV gp120 glycans to elicit cross-reactive antibodies. Used in vaccine development to neutralize viral entry and enhance immune recognition
2007,https://doi.org/10.2174/138161207779313678,Carbohydrate,cyclic peptide,3-sulfoglucuronyl β1-3-galactoside,D002 (RGGLCYCRYRYCVCGR),mimic based on the YRY motif,"Antimicrobial Therapy:Disrupts bacterial membranes (e.g., Pseudomonas aeruginosa) via amphipathic design, reducing biofilm formation"
2007,https://doi.org/10.2174/138161207779313678,Carbohydrate,linear,sialylated or sulfated carbohydrate epitopes,912 (YRYRYGRYRSGS),mimics based on the YRY motif,UTIs: Prevents E. coli biofilm formation
2007,https://doi.org/10.1016/j.carres.2007.03.012,Carbohydrate,Amido-based mimetic,β-Galactose,"1-Deoxy-1-(3,5-dimethoxybenzamido)-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Carbohydrate,Amido-based mimetic,β-Galactose,1-Deoxy-1-(2-naphthamido)-β-D-mannopyranose,Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Carbohydrate,Amido-based mimetic,β-Galactose,"1-Deoxy-1-[4-methoxycarbonyl-1H-(1,2,3)-triazol-1-yl]-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Carbohydrate,Amido-based mimetic,β-Galactose,"1-Deoxy-1-[4-methylaminocarbonyl-1H-(1,2,3)-triazol-1-yl]-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Carbohydrate,Amido-based mimetic,β-Galactose,"1-Deoxy-1-[4-ethylaminocarbonyl-1H-(1,2,3)-triazol-1-yl]-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Carbohydrate,Amido-based mimetic,β-Galactose,"1-Deoxy-1-[4-propylaminocarbonyl-1H-(1,2,3)-triazol-1-yl]-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Carbohydrate,Amido-based mimetic,β-Galactose,"1-[4-Butylaminocarbonyl-1H-(1,2,3)-triazol-1-yl]-1-deoxy-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Carbohydrate,Amido-based mimetic,β-Galactose,"1-Deoxy-1-[4-(2-Hydroxypropyl)-aminocarbonyl-1H-(1,2,3)-triazol-1-yl]-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Carbohydrate,Amido-based mimetic,β-Galactose,"1-[4-Benzylaminocarbonyl-1H-(1,2,3)-triazol-1-yl]-1-deoxy-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1039/b710425a,Protein,Peptide mimetic,α-helices peptides,Hydrazone-linked peptides,To stabilize α-helical structures by replacing the N-terminal i and i + 4 hydrogen bond with a covalent link,Forms well-defined short α-helices with minimal perturbations to molecular recognition surfaces.
2007,https://doi.org/10.1039/b710425a,Protein,Peptide mimetic,TTTT(Type I antifreeze proteins (AFPs)),"15-residue peptide with a single Thr repeat and i, i + 4 lactam bridge",Stabilizes a pyramidal plane on the surface of growing ice crystals.,"Shows potential antifreeze activity, but not as effective as TTTT."
2007,https://doi.org/10.1039/b710425a,Protein,Peptide mimetic,TTTT(Type I antifreeze proteins (AFPs)),Ala-rich peptides with spaced Lys residues,Exhibits antifreeze activity.,Weaker antifreeze activity compared to TTTT.
2007,https://doi.org/10.1128/aac.00208-07,Protein,peptide,melittin and lactoferricin.,meta-phenylene ethynylene,use as therapeutic anti-infectives in the treatment of oral infectious diseases,"rapid activity against several prolific oral pathogens and efficacy in treating oral biofilms,  activity against other biofilm sources is
warranted, as its efficacy may extend to other commercial applications"
2008,https://doi.org/10.1016/j.carres.2008.04.015,Carbohydrate,Cluster Glycoside Mimetic,Mannose,Unprotected clustermannoside,Scaffold for trivalent glycocluster,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2008,https://doi.org/10.1016/j.carres.2008.09.002,Carbohydrate,Glycolipid Mimetics,GM3 (ganglioside),"2-aminododecyl (5-acetamido-4,7,8,9-tetra-O-acetyl-3,5-dideoxy-D-glyceroa-D-galacto-2-nonulopyranosyl)onate-(2?3)-2,4,6-tri-O-acetyl-bD-galactopyranosyl-(1?4)-2,3,6-tri-O-acetyl-b-D-glucopyranoside","Mimics the lyso-GM3 structure, binds to epidermal growth factor receptor (EGFR)","Influenza:These glycosides mimic sialic acid and inhibit viral neuraminidases, blocking viral release and reducing infection severity"
2008,https://doi.org/10.1016/j.drudis.2008.07.008,Protein,b-hairpin loops,antibody Fab fragments,Z-domain of Staphylococcus aureus protein A,Designed to mimic the structural conformation of the L3 canonical loop in antibodies,structural mimetic exhibited stable hairpin conformation
2008,https://doi.org/10.1016/j.drudis.2008.07.008,Protein,peptide,erythropoietin (EPO),Z-domain of Staphylococcus aureus protein A,activates EPO receptor,binds to EPO receptor
2008,https://doi.org/10.1016/j.drudis.2008.07.008,Protein,b-hairpin peptide mimetics,p53,Z-domain of Staphylococcus aureus protein A,Mimics the a-helical epitope of p53,binds to HDM2 with KD of 25 nM
2008,https://doi.org/10.1016/j.cbpa.2008.09.023,Protein,Receptor mimetic,G-protein coupled receptor CRF1,Z-domain of Staphylococcus aureus protein A,"The mimetic presents the N-terminus and three extracellular loops of CRF1, demonstrating specific recognition of the ligand",Recognizes and binds to the CRF1 ligand urocortin
2008,https://doi.org/10.1016/j.cbpa.2008.09.023,Protein,binding site mimetic,gp120,Synthetic CD4-binding site mimetic,Designed to mimic the CD4-binding site of gp120,"Antibodies raised against this mimetic recognize the gp120, compete with the broadly neutralizing antibody mAb b12, whose epitope overlaps the CD4-binding site, for binding to gp120"
2009,https://www.nature.com/articles/nrd2852.pdf,Carbohydrate,glycomimetic,sialic acid,Zanamivir (Relenza),"Zanamivir functions as an inhibitor of viral neuraminidases, which is used for the prevention of influenza virus infections",Influenza: Neuraminidase inhibitors preventing viral release
2009,https://www.nature.com/articles/nrd2852.pdf,Carbohydrate,glycomimetic,sialic acid,Oseltamivir phosphate (Tamiflu),"Oseltamivir phosphate (Tamiflu) functions as an inhibitor of viral neuraminidases, which is used for the treatment of influenza virus infections",Influenza: Neuraminidase inhibitors preventing viral release
2009,https://doi.org/10.1002/ejoc.200900945,Carbohydrate,glycosides,pyranose,di-O-isopropylidene-glucose,"Di-O-isopropylidene-glucose is used as a starting material for the synthesis of glycoaminoxy acids, which are a novel type of sugar building blocks and oligosaccharide mimetics. It is chosen for its ready availability and low cost, and it allows for the introduction of functional groups necessary for further chemical transformations","Protected sugars used to develop glycan-based drugs (e.g., antiviral agents)"
2009,https://doi.org/10.1002/ejoc.200900945,Carbohydrate,imino sugar derivative,D-Ribose,D-ribofuranoid glycoaminoxy acid,"D-ribofuranoid glycoaminoxy acid functions as a novel sugar building block and oligosaccharide mimetic. It is used in the synthesis of homo-oligomers, which are oligosaccharide mimetics","Antiviral Drug Design:scaffolds for neuraminidase inhibitors (e.g., zanamivir) and nucleoside analogs."
2009,https://doi.org/10.1002/ejoc.200900945,Carbohydrate,glycoside,oligosaccharide,di-O-isopropylidene-D-glucose,"Di-O-isopropylidene-D-glucose serves as a versatile synthetic intermediate in carbohydrate chemistry, primarily functioning as a protected glucose derivative with strategic hydroxyl group masking.","Antibiotic Production:Key intermediate in synthesizing cephalosporins and penicillins, used to treat bacterial infections"
2009,https://doi.org/10.1161/ATVBAHA.109.187518,Protein,Peptide Mimetic,ApoA-I,18A,Mimics the amphipathic helix of ApoA-I,contained 18 amino acids and formed a class A amphipathic helix.
2009,https://doi.org/10.1161/ATVBAHA.109.187518,Protein,Peptide Mimetic,ApoA-I,3F14,did not reduce lesion area in apoE-null mice.,Ineffective in scavenging lipid hydroperoxides; did not reduce lesion area in apoE-null mice.
2009,https://doi.org/10.1161/ATVBAHA.109.187518,Protein,Peptide Mimetic,ApoA-I,3F-2,gnificantly reduced lesion area in apoE-null mice,gnificantly reduced lesion area in apoE-null mice
2009,https://doi.org/10.1002/ejoc.200900599,Protein,Proline Analogues,collagen,"
trans-4-hydroxy-L-proline",found in human urine as a result of collagen metabolism,"Trans-4-hydroxy-L-proline is a multifunctional imino acid critical for collagen integrity, cellular signaling, stress adaptation, and biomedical applications."
2010,https://doi.org/10.1517/17460441.2010.497811,Carbohydrate,iminosugar,- α-D-Glucopyranose,Validamycin A,a non-systemic antibiotic with fungicide action produced from the fermentation of Streptomyces hygroscopicus subspecies limoneus,Antifungal agent against rice sheath blight (Rhizoctonia solani)
2010,https://doi.org/10.1016/j.bmc.2010.08.027,Carbohydrate,miscellanous,"glucose,mannose",sialic acid,"Carbohydrate mimetics are designed to mimic the structure and function of carbohydrates, often to improve pharmacokinetic properties and binding affinities. In the context of the document, a non-carbohydrate mimic was synthesized to act as an antagonist of the myelin-associated glycoprotein (MAG), which is involved in blocking the regeneration of neurite injuries. The goal was to address pharmacokinetic issues such as metabolic stability while maintaining or improving binding affinity to the target protein",Influenza (via neuraminidase inhibitors like oseltamivir and zanamivir)
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,Thioglycosides,sialic acid,Thiosialosides,Thiosialosides are used as probes for sialic acid recognizing proteins and have been evaluated for their ability to inhibit influenza virus neuraminidase,"Influenza:Bifunctional thiosialosides inhibit viral neuraminidase (NA), preventing viral release. They show nanomolar efficacy against H1N1 and H3N2 strains"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,Thioglycosides,sialic acid,Thiogangliosides,Thiogangliosides have been evaluated for their ability to inhibit influenza virus neuraminidase,"Influenza:Bifunctional thiosialosides inhibit viral neuraminidase (NA), preventing viral release. They show nanomolar efficacy against H1N1 and H3N2 strains"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,Thioglycosides,sialic acid,Polymeric thiosialosides,Polymeric thiosialosides have been evaluated for their ability to inhibit influenza virus neuraminidase,"Influenza:Bifunctional thiosialosides inhibit viral neuraminidase (NA), preventing viral release. They show nanomolar efficacy against H1N1 and H3N2 strains"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,Thioglycosides,galactofuranosides,Galactofuranosyl alkyl thioglycosides,"Galactofuranosyl alkyl thioglycosides function as inhibitors of mycobacterial growth, specifically targeting Mycobacterium smegmatis. They are of interest as potential tuberculosis therapeutics due to their ability to mimic the structural characteristics of galactofuranosides, which are essential components of the mycobacterial cell wall","Bacterial Infections:Target pathogens with galactofuranose-containing glycans (e.g., Mycobacterium tuberculosis) by inhibiting cell wall synthesis"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,carbasugars,glucose,Cyclitol epoxide,Cyclitol epoxide functions as a carbasugar analogue of D-glucose and is one of the most potent and specific competitive inhibitors of almond and Molt-4 lysate β-glucosidases,"Antiviral/Metabolic Disorders:Acts as a glycosidase inhibitor, potentially targeting viral entry or carbohydrate metabolism pathways (similar to DNJ)"
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,miscellanous,sialosyl cation,Relenza,Relenza functions as an anti-influenza drug. It was designed by detailed analysis of the catalytic site within influenza virus neuraminidase and is known for its inhibitory activity against this enzyme,Influenza A/B:Neuraminidase inhibitor used for treatment (within 48 hours of symptom onset) and prophylaxis. Reduces symptom duration and transmission risk
2010,https://doi.org/10.4155/fmc.10.8,Carbohydrate,inhibitor,glucosidase,zanamivir,Acts as an anti-influenza drug,Influenza A/B: Neuraminidase inhibitors that reduce viral replication. Effective if administered within 48 hours of symptom onse
2010,https://doi.org/10.4155/fmc.10.8,Carbohydrate,inhibitor,glucosidase,oseltamivir,Acts as an anti-influenza drug,Influenza A/B: Neuraminidase inhibitors that reduce viral replication. Effective if administered within 48 hours of symptom onse
2010,https://doi.org/10.1016/j.cbpa.2010.07.017,Protein,Synthetic receptor,"
Mutant p53 (p53-R337H)",amphiphilic calixarenes embedded in chromatic phospholipid/polydiacetylene (PDA) vesicles,Induces changes in vesicle absorption spectra,Multivalent interactions
2010,https://doi.org/10.1016/j.cbpa.2010.07.017,Protein,Synthetic polymer,various,Fluorescence quenching upon binding,Protein recognition,Monitoring emission of fluorescently labeled proteins
2010,https://doi.org/10.4155/fmc.10.259,Protein,Peptide-based drug,C-terminal heptad repeat 2 (HR2) region of the HIV-1 gp41 envelope glycoprotein,Fuzeon® (enfuvirtide),HIV fusion inhibitor,"Binds to gp41, prevents HIV from fusing with CD4+ cells, used in cases of drug-resistant HIV strains."
2010,https://doi.org/10.1126/science.1182749,Protein,Peptidomimetic Antibiotics,PG1,L27-11,"spectrum of antimicrobial activity, including minimal inhibitory concentrations (MICs) in the nanomolar range against many Pseudomonas aeruginosa (PA) strains and other Pseudomonas spp.",weakly active or inactive against other Grampositive and Gram-negative bacteria
2010,https://doi.org/10.1126/science.1182749,Protein,Peptidomimetic Antibiotics,PG1,L26-19,No fluorescence increase was apparent over 120 min when PA cells were exposed to it,no notable lysis of human red blood cells at concentrations up to 100 mg/ml
2010,https://doi.org/10.1126/science.1182749,Protein,Peptidomimetic Antibiotics,β-hairpin loop of protegrin I (PG-1),POL7001,mproved plasma half-lives while retaining a potent and selective action against PA,substantial activity against both strains with calculated median effective doses
2010,https://doi.org/10.1126/science.1182749,Protein,Peptidomimetic Antibiotics,β-hairpin structure of protegrin I,POL7080,mproved plasma half-lives while retaining a potent and selective action against PA,substantial activity against both strains with calculated median effective doses
2010,https://doi.org/10.1016/j.addr.2010.04.007,Protein,elastin-mimetic triblock copolymer,elastin,LysB10,Designed for drug delivery and biomedical applications,Exhibits elastomeric behavior when chemically cross-linked <br> - Designed for enhanced mechanical properties and potential for drug delivery
2010,https://doi.org/10.1111/j.2041-1014.2010.00590.x,Protein,peptide,antimicrobial peptides (AMPs),mPE (PMX70004),resulted in a significant reduction of viable C. albicans in this model of Candida infection,"exhibited MIC values below 8 lg ml)1, exhibits the most rapid killing,
with a three-log reduction in CFU after 1–5 min at
50 lg ml)1,  incubated with
C. albicans hyphae, no viable cells were visible at
concentrations higher than 32 lg ml)1 after a 24-h
incubation, indicating that the compound could also kill cells in this form.
. "
2010,https://doi.org/10.1111/j.2041-1014.2010.00590.x,Protein,peptide,antimicrobial peptides (AMPs),PMX30016,"no reduction in CFU was observed by 10 min, significant reduction of viable C. albicans in this model of
Candida infection",exhibited MIC values below 8 lg ml)1
2010,https://doi.org/10.1111/j.2041-1014.2010.00590.x,Protein,peptide,antimicrobial peptides (AMPs),PMX000519,"PMX000519 is classified as a synthetic antimicrobial peptide (AMP) mimetic, designed to replicate the structure and function of natural antimicrobial peptides",exhibited MIC values below 8 lg ml)1
2010,https://doi.org/10.1111/j.2041-1014.2010.00590.x,Protein,peptide,antimicrobial peptides (AMPs),PMX10149,"PMX10149 is a synthetic AMP mimetic with potent antifungal activity against C. albicans, including biofilm-associated infections. Its membrane-targeting mechanism avoids resistance development and enables rapid fungicidal action, making it a promising candidate for treating resistant fungal infections.",exhibited MIC values below 8 lg ml)1
2010,https://doi.org/10.1073/pnas.1004261107,Protein,soluble trimeric peptide mimetic,NHR region of the prehairpin intermediate- gp41,IQN17,"mimicks NHR
region of the prehairpin intermediate","NHR-binding inhibitors of HIV-1 infection using mirror image phage display, providing strong evidence that IQN17 presents the NHR region in the same structure as is present in the actual prehairpin intermediate"
2010,https://doi.org/10.1073/pnas.1004261107,Protein,peptide,NHR trimer- gp41,IZN36,selection agents with a single-chain antibody variable region (scFv) phage-display library,"IZN36 is a synthetic peptide-based HIV-1 fusion inhibitor designed to block the entry of the virus into host cells by targeting the gp41 protein, a key component of the viral envelope that mediates membrane fusion."
2010,https://doi.org/10.1073/pnas.1004261107,Protein,chimeric,gp41,IZN17,Immunogen,dependent on self-association
2010,https://doi.org/10.1073/pnas.1004261107,Protein,Peptide,gp41,(CCIZN17)3,"peptide is potentially a better immunogen than IZN17,","trimeric state of the peptide is not dependent on self-association as for IZN17, and the conformational epitope within the hydrophobic pocket is therefore expected to be present even at the highly diluted concentrations resulting from vaccination"
2010,https://doi.org/10.1073/pnas.1004261107,Protein,Peptide,gp41,(CCIPN17)3,"to shield the IZ scaffold from immune recognition in an attempt to minimize generation of antibodies against the nonrelevant portion of the peptide chimera, and subsequently focus the immune response against the NHR region. T",binds D5 with an efficiency similar to (CCIZN17)3
2010,https://doi.org/10.1073/pnas.1004261107,Protein,Peptide,gp41,(CCIZN36)3,Peptide mimetics of a longer segment of the NHR,elicit neutralizing antibody responses that can be detected in unfractionated serum from guinea pigs. T
2010,https://doi.org/10.1073/pnas.1004261107,Protein,Peptide,gp41,(CCIPN36)3,Peptide mimetics of a longer segment of the NHR,elicit neutralizing antibody responses that can be detected in unfractionated serum from guinea pigs. T
2011,https://doi.org/10.1039/C1OB05583F,Carbohydrate,Mixed-Type Oligosaccharides,pyranose,monocyclic aminopyrans,"Monocyclic aminopyrans function as carbohydrate mimetics used to enhance the binding affinities of gold colloids by converting their hydroxyl groups into sulfate functionalities. They are used to study the binding properties of sulfated epitopes with different configurations and substitution patterns, particularly in relation to their interaction with selectins",Antimicrobial/Anticancer: Structural analogs of imidazoles targeting kinases or microbial enzymes
2011,https://doi.org/10.1039/C1OB05583F,Carbohydrate,Mixed-Type Oligosaccharides,d-fructose,acyclic aminopolyols,"Acyclic aminopolyols function as carbohydrate mimetics used to enhance selectin binding properties. They are attached to gold colloids and sulfated to improve ligand-receptor interactions. These sulfated colloids exhibit strong selectin binding properties and no signs of cytotoxicity, serving as a valuable example of improved ligand-receptor interactions when presented multivalently","Diabetes, Viral Infections, Cancer: Synthesized via biocatalytic amination of sugars, these compounds act as carbohydrate mimetics for diabetes management, antiviral therapies, and antitumor agents"
2011,https://doi.org/10.2174/138955711793564060,Carbohydrate,Iminosugars,glucose,nojirimycin,Nojirimycin functions as a glycosidase inhibitor. It has shown inhibitory activity towards both α- and β-glucosidases,"Bacterial Infections: Inhibits Xanthomonas oryzae, Shigella flexneri, and Mycobacterium smegmatis"
2011,https://doi.org/10.2174/138955711793564060,Carbohydrate,Iminosugars,glucose,α-Homonojirimycin,α-Homonojirimycin functions as a potent glycosidase inhibitor,"Antiviral Research: Inhibits viral replication (e.g., HIV) and modulates glycosylation pathways"
2011,https://doi.org/10.1134/S1068162011060100,Carbohydrate,Miscellanous,heparinoids,Sulfated bisamide,"Sulfated bisamide of aldonic acid (186) is ascribed to this type of compound (Scheme 29). At first com pound (186) was supposed to be used as an antithrom botic drug [55, 56] and was synthesized in four stages from lactobionic acid (185), which was primarily transformed into bisamide with 1,3propanediamine using the cationexchange resin LewatitS100, and then was subjected to exhaustive sulfation with the complex Py ⋅ SO3 to form hexadecasulfate (186). This compound manifested relatively high anticoagulant activity, presumably inhibiting thrombin in a complex with heparin cofactor II (HCII).",Antimicrobial: Mimic glycopeptides to target bacterial cell walls
2011,https://doi.org/10.1016/j.bbamem.2011.03.016,Protein,Membrane protein mimetic,"Mitochondrial complex I, human GPCRs (BLT1 and BLT2), bacterial outer membrane proteins (OmpA and OmpX), bacteriorhodopsin, SR calcium ATPase, nicotinic acetylcholine receptor",Amphipols,Short amphipathic polymers that stabilize membrane proteins in aqueous solutions without disrupting their structure.,"Maintains protein solubility and activity, facilitating NMR studies with improved folding yields compared to detergents."
2011,https://doi.org/10.1016/j.bbamem.2011.03.016,Protein,Membrane protein mimetic,"Potassium channel KcsA, lipid-anchored proteins (e.g., recoverin, HIV-1 matrix protein)",Reverse Micelles,Encapsulates proteins in a non-polar environment while retaining hydration.,"Used for studying proteins that require a low-viscosity environment, although they may not fully replicate native conditions."
2011,https://doi.org/10.1016/j.bbamem.2011.03.016,Protein,Membrane protein mimetic,"Various transmembrane proteins, including EGF receptor, bacteriorhodopsin, magainin, protegrin, Influenza M2 channel, and others",Multilamellar Vesicles,Mimics cellular membranes with multiple lipid bilayers.,"Suitable for solid-state NMR studies, providing a concentrated lipid environment for embedded proteins."
2011,https://doi.org/10.1016/j.cbpa.2011.02.015,Protein,CAMP Mimetics- Cyclic cationic peptide,β-turn regions (containing D-Phe-Pro residues),Gramicidin S,hemolytic properties,Antimicrobial activity
2011,https://doi.org/10.1016/j.cbpa.2011.02.015,Protein,CAMP Mimetics- Cyclic cationic peptide,NA,Tyrocidine,hemolytic properties,Antimicrobial activity
2011,https://doi.org/10.1016/j.cbpa.2011.02.015,Protein,b-hairpin peptidomimetic,LptD (OstA/Imp),L27-11,Inhibition of LPS transport,"Non-lytic, potent antimicrobial activity in the nanomolar range against Gram-negative bacteria (Pseudomonas sp)"
