 Paper Publish Year,DOI,Carbohydrate/Protein Mimetic,Category ,Mimic of which Protein/Carbohydrate,Name of the Mimetic,Functions,Activity
2014,https://doi.org/10.1021/bm500091e,Protein,Collagen mimetic peptide,Collagen,(Pro-Lys-Gly)4(Pro-Hyp-Gly)4(Asp-Hyp-Gly)4,"forms nanofibrous triple helices that entangle to form a hydrogel. adhere platelets, activate them (indicated by soluble P-selectin secretion), and clot plasma and blood similar to animal derived collagen and control surfaces. In addition to the thrombotic potential, THP-1 monocytes incubated with our KOD collagen mimetic showed minimal proinflammatory cytokine (TNF-α or IL-1β) production.","Promotes hemostasis by adhering and activating platelets, clotting plasma and blood similar to animal-derived collagen, while showing minimal proinflammatory cytokine production"
2015,https://doi.org/10.1016/j.biomaterials.2015.02.079,Protein,collagen mimetic,Collagen,Scl2,"Streptococcal collagen-like 2 protein with specific peptides to enhance its properties for use in hydrogels HAbind, CSbind and RGDS peptides were conjugated to acrylate-Scl2 via thiolacrylate chemistry","Potential for improved tissue engineering and regenerative medicine applications, particularly in cardiovascular and bone repair"
2015,https://doi.org/10.1159/000374044,Protein,antagonist,BDNF sequence,Betrofin3,inhibits brain derived neurotrophic factor (BDNF) peptide  that exerts the most striking pro-cardiomyogenic effect on ES cells,"enhances the differentiation of ES cell-derived cardiomyocytes and at least in part that a TrkB receptor blockade by K252a may negatively regulate the differentiation process of the ES cells into cardiomyocytes,potentially useful for cardiac regeneration."
2015,https://doi.org/10.1159/000374044,Protein,antagonist,FGF,FGLs,enhance EGFP expression,Potential for cardiac gene therapy monitoring through enhanced cardiac-specific EGFP expression
2015,https://doi.org/10.1159/000374044,Protein,antagonist,FGF,FGLL,enhance EGFP expression,Potential for cardiac gene therapy monitoring through enhanced cardiac-specific EGFP expression
2015,https://doi.org/10.1159/000374044,Protein,antagonist,NCAM (Neural Cell Adhesion Molecule),EnkaminE,enhance EGFP expression,"carries a cardiac-specific reporter transgene encoding EGFP in a concentration-and time-dependent manner,potentially useful for cardiac gene therapy monitoring"
2015,https://doi.org/10.1159/000374044,Protein,antagonist,NCAM (Neural Cell Adhesion Molecule),Plannexin,enhance EGFP expression,"carries a cardiac-specific reporter transgene encoding EGFP in a concentration-and time-dependent manner,potentially useful for cardiac gene therapy monitoring"
2016,https://doi.org/10.1016/j.drudis.2016.11.003,Protein,synthetic peptide,Disintegrin protein from snake venom,Eptifibatide,antiplatelet drug,"Inhibits glycoprotein IIb/IIIa, preventing platelet aggregation and blood clot formation, used in acute coronary syndromes"
2016,https://doi.org/10.1016/j.drudis.2016.11.003,Protein,antagonist,sarcosine,Saralasin,used to treat hyper tension,Angiotensin II receptor agonist to reduce hypertension
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Apolipoprotein mimetic peptides,apoA-I,18A,higher lipid affinity and enhanced anti-atherogenic properties,Potential therapeutic for reducing atherosclerosis and improving cholesterol transport
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Apolipoprotein mimetic peptides,apoA-I,5A,"Anti-inflammatory, antioxidant and atheroprotective effects","less toxic and more specific to the ATP-binding cassette transporter A1(ABCA1) in cholesterol transport,Atherosclerosis"
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Apolipoprotein mimetic peptides,apoA-I,ETC-642,induction of cholesterol and increase of HDL fraction,Potential treatment for atherosclerosis by reducing inflammation and increasing HDL
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Apolipoprotein mimetic peptides,apoA-I,FAMP,effectively enhance HDL biological function and it also has atheroprotective functions,Potential treatment for atherosclerosis by enhancing HDL function
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Apolipoprotein mimetic peptides,ApoE,ATI-5261,reduces aortic lesions and plaque formation,"induce ABCA1-mediated cholesterol transport and reduce aortic lesion area and plaque lipid content,dyslipidemia"
2016,https://doi.org/10.3389/fphar.2016.00526,Protein,Apolipoprotein mimetic peptides,ApoE,Ac-hE18A-NH2,reduces plasma cholesterol in several dyslipidemic animal models,Potential treatment for dyslipidemia by reducing plasma cholesterol
2017,https://doi.org/10.1002/ddr.21407,Protein,Collagen mimetic peptides,((ProLys-Gly)4(Pro-Hyp-Gly)4(Asp-Hyp-Gly)),KOD,Promotes haemostasis,Promotes hemostasis by replicating collagen's self-assembly
2017,https://doi.org/10.1002/ddr.21407,Protein,GPIIb/IIIa antagonist,RGD sequence,SC47643,Enhances stability of their agent against enzymatic degradation,Potential anti-thrombotic by inhibiting platelet aggregation
2017,https://doi.org/10.1002/ddr.21407,Protein,GPllb/llla antagonist,RGD sequence,FK633,Inhibits platelet aggregation,Inhibits platelet aggregation for potential thrombosis treatment
2017,https://doi.org/10.3390/ph10040078,Protein,methyl glycoside analogue,antithrombin III,Fondaparinux,prophylaxis and treatment of venous thromboembolism (VTE),Prevents and treats venous thromboembolism
2017,https://doi.org/10.3390/ph10040078,Protein,synthetic anticoagulant,Idrapainux,Idrabiotaparinux,effective and safe as the standard warfarin treatment for VTE,biotin segment of Idrabiotaparinux enables the neutralization of the drug using avidin as a neutralizing agent
2017,https://doi.org/10.3390/ph10040078,Protein,synthetic hexadecasaccharide,Heparin,SR123781,indirect antithrombin III dependent inhibitor of FXa,prolonged anti-FXa and antithrombin activity after intravenous and subcutaneous administration
2017,https://doi.org/10.3390/ph10040078,Protein,antithrombotic,Heparin,AV5026,dose-dependent antithrombic effect with similar activity,Highly selective depolymerization of heparin for antithrombotic activity
2017,https://doi.org/10.1007/978-1-4939-6857-2_1,Protein,anticalins,antibody,DigA16 (H86N),digoxin antidote,"dramatically decreases the free digoxin concentration in plasma and rapidly reducing its toxic effects,Digoxin antidote for treating digoxin toxicity"
2017,https://doi.org/10.1038/s41467-017-02008-y,Protein,adrenergic receptor,β44-m23,β1AR,ligand-induced variations in G-protein interaction underpin partial agonism,"Salbutamol-bound β1AR is more mobile than the other partial agonist-bound receptors but is still considerably more rigid than full agonist-bound receptor, Potential therapeutic target for adrenergic receptor-related diseases"
2020,https://doi.org/10.1038/s41598-020-63336-6,Protein,Therapeutic peptide,Connexin 43 (Cx43),Gap27,"Gap27 is designed to mimic the function of Cx43, which is crucial for intercellular communication in the heart. Cx43 plays a significant role in the conduction of electrical impulses between cardiomyocytes, which is essential for maintaining normal heart rhythm and function.","Gap27 has been shown to improve cardiac function and reduce arrhythmogenesis in heart failure models. Specifically, it decreases the progression of cardiac dysfunction, reduces the incidence and severity of arrhythmias, and mitigates cardiac hypertrophy and adverse remodeling in high-output heart failure conditions.The peptide works by potentially influencing the phosphorylation status of Cx43, particularly at the S368 site, which is associated with the lateralization of Cx43 in cardiomyocytes"
