Paper Publish Year,DOI,Category (Carbohydrate Mimetic),Mimic of which Carbohydrate,Name of the Carbohydrate Mimetic,Functions,Activity
2005, https://doi.org/10.1002/chem.200500025,glycosides,natural saccharides,O-galactosyl aldoximes,O-galactosyl aldoximes function as potent inhibitors of galectin-3,Antiviral/Enzyme inhibition: Potential glycosidase inhibitors
2005,https://doi.org/10.1016/j.bmc.2005.06.059,Modified Glycosides,"Neu5Ac2en, which is a sialic acid derivative","β-O-glycosides of 4,5-unsaturated 2-acetamido-D-glucuronic acid","The function of β-O-glycosides of 4,5-unsaturated 2-acetamido-D-glucuronic acid is to act as mimetics and inhibitors of influenza virus sialidase",Mucopolysaccharidoses/Cancer: Disrupts glycosaminoglycan pathways
2006,https://doi.org/10.1016/j.tet.2006.05.080, glycosidases,glucose,1-cyano-2-phthalimidederivative,"1-Cyano-2-phthalimidederivatives are versatile compounds with a wide range of applications. They are primarily used as intermediates in organic synthesis, particularly in the preparation of various pharmaceuticals, agrochemicals, and dyes2. These derivatives exhibit significant biological activities, including anticancer, antibacterial, anti-inflammatory, and antifungal properties",Cancer Phthalimide derivatives like thalidomide and lenalidomide are used for multiple myeloma and autoimmune diseases
2006,https://doi.org/10.1016/j.tet.2006.05.080, glycosidases,D-glucuronic acid,methyl D-glycero D-gulo-hepturonate,"Methyl D-glycero-D-gulo-hepturonate functions primarily as a synthetic intermediate in carbohydrate chemistry, particularly for constructing complex glycomimetics and glycosidic linkages.",Metabolic disorders: Studied for glucose metabolism modulation but showed limited efficacy compared to D-mannoheptulose
2006,https://doi.org/10.2174/138620706778249703,glycosidases,aglycon moiety,Tetrahydropyridoimidazole,"Tetrahydropyridoimidazole is a heterocyclic scaffold with diverse pharmacological functions, primarily in anticancer therapy, antimicrobial action, and ion channel modulation. Its biological activity stems from structural interactions with key cellular targets, modulated by substituents and stereochemistry.",Cancer: Targets EGFR mutants in non-small cell lung cancer (NSCLC)
2006,https://doi.org/10.1080/07328300600733020,glycoproteins,cyclic peptide cRGDFV,"vitronectins, avb3",a class of extracellular proteins that facilitate cell-cell recognition,"Cancer/Angiogenesis: Inhibitors (e.g., cilengitide) target tumor vasculature and metastasis"
2006,https://doi.org/10.1074/jbc.M604137200,carbohydrate mimetic peptides,mannose,RYRY (also known as D002),serum of D002 immunized mice was able to suppress the binding of HIV gp120 to human dendritic cells,Gastroesophageal reflux disease (GERD): Proton pump inhibitor (rabeprazole) + prokinetic (domperidone) combination
2006,https://doi.org/10.1016/j.carres.2006.01.024,glycomimetics,mannose,nonavalent mannoside,"The function of nonavalent mannoside clusters is to serve as inhibitors of type 1 fimbriae-mediated bacterial adhesion, specifically targeting mannose-specific bacterial adhesion","Bacterial infections: Blocks FimH adhesion in E. coli (e.g., urinary tract infections"
2006,doi:10.2174/157017906778699530,glucopyranose,cyclopeptide tachykinin NK-2 antagonist,2-deoxy-2-thio-D-glucopyranose,2-deoxy-2-thio-D-glucopyranose is designed as a mimic of the cyclopeptide tachykinin NK-2 antagonist,Antiviral/Diabetes: Thiosugar analog with potential for α-glucosidase inhibition
2006,https://doi.org/10.1002/ana.20948,glycosidases,Glycosaminoglycan,(3-Sulfoglucuronyl β1-3 galactoside),"The 3-sulfoglucuronyl β1-3 galactoside, known as the HNK-1 epitope, is associated with myelin profiles of motor axons but not of sensory axons in both intact and regenerating femoral nerves of mice. It has been suggested that the expression of this glycan enhances neurite outgrowth of motor neurons in vitro, although its beneficial effects on nerve regeneration in vivo have not yet been demonstrate","Autoimmune Neuropathies:Targets in Guillain-Barré syndrome and anti-MAG neuropathy. SGGLs on peripheral nerves are recognized by autoantibodies, leading to demyelination"
2006,https://doi.org/10.1021/jo051989g,carbasugar,cyclooctane polyols and glycomimetic,cyclooctadienone (+)-6,"Cyclooctadienone (+)-6 serves as a pivotal compound in the synthesis of enantiopure cyclooctane polyols and glycomimetics. It is derived from D-arabinose and D-glucose through a series of transformations, including zirconocene-promoted ring contraction and [3.3] sigmatropic rearrangement. This compound provides a platform for the synthesis of stereoisomeric cyclooctane-1,2,3-triols and the pentahydroxy derivative, as well as facilitating the generation of glycomimetics",NA
2006,https://doi.org/10.1021/jo051989g,carbasugar,pyranose,"cyclooctane-1,2,3-triols",Glycosidase inhibitors,Explored as intermediates for glycoconjugates with potential antiviral/anticancer activity.
2006,https://doi.org/10.1016/j.tet.2006.05.080,Miscellaneous,D-glucosamine,b(1/2)-amide-linked oligomer,"The ( \beta (1/2) )-amide-linked oligomer is part of a new class of carbohydrate mimetics that are resistant to glycosidases. These oligomers have been investigated for their biological activities, such as anti-HIV activity and inhibition of sialyl Lewis x-mediated cell adhesion. The O-sulfated oligomers effectively inhibited HIV infection, sialyl Lewis x-mediated cell adhesion, and heparanase activity in a linkage-specific manner. Therefore, these molecules have potential applications as drugs that block protein–protein interactions and inhibit enzyme catalysis. Additionally, the ( \beta (1/2) )-linked oligomer forms a rigid secondary structure, mimicking a folding ( \beta )-peptide, which makes it interesting as a tool for mimicking native peptide and protein structures","Antimicrobial Therapy:Linear β(1→2)-linked oligomers (e.g., RNG/DNG analogs) mimic nucleic acids, resisting nuclease degradation and enhancing membrane permeability for antisense therapies"
2006,https://doi.org/10.1016/j.tet.2006.05.080,Miscellaneous,D- glucose,b(1/3)-amide-linked oligomer,"The ( \beta (1/3) )-amide-linked oligomer is part of a new class of carbohydrate mimetics that are resistant to glycosidases. These oligomers have been investigated for their biological activities, such as anti-HIV activity and inhibition of sialyl Lewis x-mediated cell adhesion. The O-sulfated oligomers effectively inhibited HIV infection, sialyl Lewis x-mediated cell adhesion, and heparanase activity in a linkage-specific manner. Therefore, these molecules have potential applications as drugs that block protein–protein interactions and inhibit enzyme catalysis","Antimicrobial Therapy:Linear β(1→2)-linked oligomers (e.g., RNG/DNG analogs) mimic nucleic acids, resisting nuclease degradation and enhancing membrane permeability for antisense therapies"
2006,https://doi.org/10.1016/j.tet.2006.05.080,Miscellaneous,D-galactose,b(1/4)-amide-linked oligomer,"The ( \beta (1/4) )-amide-linked oligomer is part of a new class of carbohydrate mimetics that are resistant to glycosidases. These oligomers have been investigated for their biological activities, such as anti-HIV activity and inhibition of sialyl Lewis x-mediated cell adhesion. The O-sulfated oligomers effectively inhibited HIV infection, sialyl Lewis x-mediated cell adhesion, and heparanase activity in a linkage-specific manner. Therefore, these molecules have potential applications as drugs that block protein–protein interactions and inhibit enzyme catalysis","Alzheimer’s Disease (AD):Multi-target ligands (MTDLs) combining β-sheet-breaking motifs (e.g., benzamide-based oligomers) inhibit Aβ aggregation, chelate metal ions (Zn²⁺, Cu²⁺), and modulate enzymes like acetylcholinesterase (AChE)"
2006,https://doi.org/10.1016/j.tet.2006.05.080,Miscellaneous,D- glucose,b(1/6)-amide-linked oligomer,"The ( \beta (1/6) )-amide-linked oligomer is part of a new class of carbohydrate mimetics that are resistant to glycosidases. These oligomers have been investigated for their biological activities, such as anti-HIV activity and inhibition of sialyl Lewis x-mediated cell adhesion. The O-sulfated oligomers effectively inhibited HIV infection, sialyl Lewis x-mediated cell adhesion, and heparanase activity in a linkage-specific manner. Therefore, these molecules have potential applications as drugs that block protein–protein interactions and inhibit enzyme catalysis","Cancer Immunotherapy:(1→6)-β-glucose-branched poly-amido-saccharides (PASs) mimic β-glucans, stimulating macrophage polarization and enhancing antitumor immunity."
2006,https://doi.org/10.1016/j.tet.2006.05.080,glycosides,O-glycoside ,S-glycosides,"S-Glycosides serve as robust tools in glycan synthesis and enzyme inhibition studies, leveraging their chemical stability and stereochemical control. While therapeutic applications are emerging, their resistance to degradation positions them as promising candidates for drug development and targeted delivery systems.","Cancer: Compound S-2 (β-D-xylopyranosyl derivative) showed moderate cytotoxicity against lung carcinoma (A-549 cells, IC₅₀ = 74 µM) by inducing apoptosis"
2006,https://doi.org/10.1016/j.tet.2006.05.080,Miscellaneous,monosaccharides,pseudosugar cycloalkane,Pseudosugar cycloalkanes (carbasugars) are carbocyclic analogs of natural sugars where the furanose/pyranose oxygen is replaced with a methylene group. These compounds exhibit specialized biological functions due to their structural mimicry of carbohydrates while offering enhanced metabolic stability.,"Diabetes: Acarbose (pseudo-tetrasaccharide) slows carbohydrate digestion, managing type 2 diabetes"
2006,https://doi.org/10.1016/j.tet.2006.05.080,Miscellaneous,D- glucose,Tetrameric carbopeptoids,"Tetrameric carbopeptoids are designed as carbohydrate mimics with amide linkages replacing glycosidic bonds. They are resistant to glycosidases and exhibit interesting biological activities. Specifically, some O-sulfated oligomers of these carbopeptoids have been found to effectively inhibit HIV infection, sialyl Lewis x-mediated cell adhesion, and heparanase activity in a linkage-specific manner. Additionally, they have potential as peptide foldamers due to their ability to form rigid secondary structures, such as a 16-helix form, mimicking β-peptide","Drug-Resistant TB: Meropenem (β-lactam) inhibits D,D-carboxypeptidase activity in Mycobacterium tuberculosis, synergizing with clavulanate"
2007,https://doi.org/10.1055/s-2007-984907,Imino Sugar Mimetics,hexose sugars,Enantiopure aminopyrans,Enantiopure aminopyrans are regarded as carbohydrate mimetics and serve as building blocks for the synthesis of novel enantiopure amino acids with a carbohydrate-like backbone. They are used to generate a wide range of highly functionalized and diverse compounds with potential biological activity,"Anti-inflammatory Diseases: Aminopyrans derived from 1,2-oxazines (e.g., compounds 24, 28) act as carbohydrate mimetics and inhibit L- and P-selectins, proteins involved in inflammation. They show potential for treating inflammatory conditions like arthritis and vascular inflammation"
2007,https://doi.org/10.1055/s-2007-984907,Triazole-Linked Mimetics,D-xylose,Triazoles,Enantiopure aminopyrans are regarded as carbohydrate mimetics and serve as building blocks for the synthesis of novel enantiopure amino acids with a carbohydrate-like backbone. They are used to generate a wide range of highly functionalized and diverse compounds with potential biological activity,"Invasive Fungal Diseases (IFDs): Mold-active triazoles (e.g., voriconazole, posaconazole, isavuconazole) are used for prophylaxis and treatment of fungal infections like aspergillosis and candidiasis in immunocompromised patients"
2007,https://doi.org/10.1016/j.vaccine.2007.01.072,Carbohydrate Mimetic Peptides (CMPs),LeY antigen,CMP 106 (H-GGIYWRYDIYWRYDIYWRYD)8-MAP,effective in vivo in prophylactic vaccination followed by challenge with Meth-A tumor cells,"Myasthenia Gravis (MG):These antigen-specific immune therapies target autoreactive T and B cells against acetylcholine receptors (AChR) in MG. They aim to induce immune tolerance, potentially halting disease progression by reprogramming pathogenic immune responses"
2007,https://doi.org/10.1016/j.vaccine.2007.01.072,Carbohydrate Mimetic Peptides (CMPs),LeY antigen,CMP 107 (H-GGIYYRYDIYYRYDIYYRYD)8-MAP,"CMP 107 is a rationally designed chaperone-disrupting peptide leveraging repetitive tyrosine/arginine motifs in a MAP scaffold to inhibit Hsp90/Cdc37 or Hsp70-client interactions. Its function aligns with emerging strategies to destabilize oncogenic proteins by targeting chaperone systems, offering potential for cancer therapeutics with reduced off-target effects.","Myasthenia Gravis (MG):These antigen-specific immune therapies target autoreactive T and B cells against acetylcholine receptors (AChR) in MG. They aim to induce immune tolerance, potentially halting disease progression by reprogramming pathogenic immune responses"
2007,https://doi.org/10.2174/187152507781058663,BIMOSIAMOSE,tetrasaccharide sialyl Lewis x (sLeˣ,TBC1269,inhibited all three selectins to different degrees and decreased the binding of neutrophils and eosinophils to P-selectin both statically and dynamically,Asthma (Phase II trials)
2007,https://doi.org/10.2174/187152507781058663,Oligomers,heparin,SR123781A,as also proved to be promising,Venous thromboembolism (Phase III trials
2007,https://doi.org/10.1002/chem.200700787,Oligomannoside mimetic,trimannoside,"Methyl 3,6-di-O-(3-{a-d-mannopyranosyloxy}-propyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,https://doi.org/10.1002/chem.200700787,Oligomannoside mimetic,α-mannosylated carbohydrates,"Methyl 3,6-di-O-(3-{3,6-di-O-[3-(a-d-mannopyranosyloxy)-propyl]-a-dmannopyranosyloxy}-propyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,https://doi.org/10.1002/chem.200700787,Oligomannoside mimetic,trimannose core (Manα1-3[Manα1-6]Man),"Methyl 3,6-di-O-(3-{3,6-di-O-[6-a-d-mannopyranosyloxy)-4-thiahexyl]-ad-mannopyranosyloxy}-propyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,https://doi.org/10.1002/chem.200700787,Oligomannoside mimetic,α-mannosylated carbohydrates,"Methyl 3,6-di-O-(6-{a-d-mannopyranosyloxy}-4-thiahexyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,https://doi.org/10.1002/chem.200700787,Oligomannoside mimetic,α(1→3)/α(1→6)-linked trimannose,"Methyl 3,6-di-O-(6-{3,6-di-O-[6-(a-d-mannopyranosyloxy)-4-thiahexyl]- a-d-mannopyranosyloxy}-4-thiahexyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,https://doi.org/10.1002/chem.200700787,Oligomannoside mimetic,α-mannose glycans,"Methyl 3,6-di-O-(6-{3,6-di-O-[6-(a-d-mannopyranosyloxy)-4,4-dioxo-4- thiahexyl]-a-d-mannopyranosyloxy}-4,4-dioxo-4-thiahexyl)-a-d-mannopyranoside",Mimics oligosaccharides for inhibiting mannose-specific bacterial adhesion,Urinary tract infections (UTIs): Inhibit E. coli binding to urothelial cells
2007,DOIhttps://doi.org/10.1039/B700034K,glycosaminoglycan,heparin,PI88,"under phase II clinical trials to treat herpes simplex viral infections,",Hepatocellular carcinoma (Phase III trials)
2007,https://doi.org/10.2174/138161207779313678,peptide,mannose,YRY – the peptide 911,inhibit binding of gp120 to dendritic cells,HIV-1 Infection:Mimics HIV gp120 glycans to elicit cross-reactive antibodies. Used in vaccine development to neutralize viral entry and enhance immune recognition
2007,https://doi.org/10.2174/138161207779313678,cyclic form,mannose,YRY –cyclic form D002,inhibit binding of gp120 to dendritic cells,HIV-1 Infection:Mimics HIV gp120 glycans to elicit cross-reactive antibodies. Used in vaccine development to neutralize viral entry and enhance immune recognition
2007,https://doi.org/10.2174/138161207779313678,cyclic peptide,3-sulfoglucuronyl β1-3-galactoside,D002 (RGGLCYCRYRYCVCGR),mimic based on the YRY motif,"Antimicrobial Therapy:Disrupts bacterial membranes (e.g., Pseudomonas aeruginosa) via amphipathic design, reducing biofilm formation"
2007,https://doi.org/10.2174/138161207779313678,linear,sialylated or sulfated carbohydrate epitopes,912 (YRYRYGRYRSGS),mimics based on the YRY motif,UTIs: Prevents E. coli biofilm formation
2007,https://doi.org/10.2174/138161207779313678,motif,sulfated glycosaminoglycans (GAGs),[KLV]CC[VERP],template specific carbohydrate mimic,"Alzheimer’s Disease:Targets amyloid-beta (Aβ) aggregation (KLVFF motif) and vascular dysfunction (VERP sequence). Inhibits Aβ oligomerization and neurotoxicity, similar to tramiprosate (Alzhemed)"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Amido-based mimetic,β-Galactose,"1-Deoxy-1-(3,5-dimethoxybenzamido)-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Amido-based mimetic,β-Galactose,1-Deoxy-1-(2-naphthamido)-β-D-mannopyranose,Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Amido-based mimetic,β-Galactose,"1-Deoxy-1-[4-methoxycarbonyl-1H-(1,2,3)-triazol-1-yl]-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Amido-based mimetic,β-Galactose,"1-Deoxy-1-[4-methylaminocarbonyl-1H-(1,2,3)-triazol-1-yl]-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Amido-based mimetic,β-Galactose,"1-Deoxy-1-[4-ethylaminocarbonyl-1H-(1,2,3)-triazol-1-yl]-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Amido-based mimetic,β-Galactose,"1-Deoxy-1-[4-propylaminocarbonyl-1H-(1,2,3)-triazol-1-yl]-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Amido-based mimetic,β-Galactose,"1-[4-Butylaminocarbonyl-1H-(1,2,3)-triazol-1-yl]-1-deoxy-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Amido-based mimetic,β-Galactose,"1-Deoxy-1-[4-(2-Hydroxypropyl)-aminocarbonyl-1H-(1,2,3)-triazol-1-yl]-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1016/j.carres.2007.03.012,Amido-based mimetic,β-Galactose,"1-[4-Benzylaminocarbonyl-1H-(1,2,3)-triazol-1-yl]-1-deoxy-β-D-mannopyranose",Galectin inhibitor,"Urinary Tract Infections (UTIs):Inhibits FimH-mediated bacterial adhesion in E. coli, preventing bladder colonization"
2007,https://doi.org/10.1021/ja067819i,Synthetic Glycopolymer,Mucin,poly(MVK),Rigid polymer backbone for structural mimicry,"Mevalonate Kinase Deficiency (MKD):MVK polymers may modulate the mevalonate pathway, addressing inflammation in rare autoinflammatory disorders"
2007,https://doi.org/10.1021/ja067819i,Synthetic Glycopolymer,Mucin,co-poly(MVK/DAPA),Enhanced backbone rigidity in synthetic membranes,"Mevalonate Kinase Deficiency (MKD):MVK polymers may modulate the mevalonate pathway, addressing inflammation in rare autoinflammatory disorders"
2007,https://doi.org/10.1021/ja067819i,Synthetic Glycopolymer,Mucin,co-poly(IMK/DAPA),Mimics extended mucin structure in cell models,"Mevalonate Kinase Deficiency (MKD):MVK polymers may modulate the mevalonate pathway, addressing inflammation in rare autoinflammatory disorders"
2007,https://doi.org/10.1093/glycob/cwm020,Polymer mimetic,GM3,GM3-p (GM3 mimetic polymer),Inhibits NIH3T3 cell proliferation,Potential use in metastatic cancers
2007,https://doi.org/10.1093/glycob/cwm020,Polymer mimetic,LacCer,LacCer-p (LacCer mimetic polymer),"Lactosylceramide mimetic polymer (LacCer-p) is a synthetic analog designed to replicate the structure of natural lactosylceramide (LacCer), a glycosphingolipid involved in membrane organization and signaling.",Potential use in metastatic cancers
2007,https://doi.org/10.1021/bc700212b,Liposome,sialyl Lewis X (sLeX),SuLea-PEG-DSPE,may be used as nanocarriers to target activated platelets for drug delivery to the injury sites of cardiovascular diseases,Cardiovascular Diseases:PEG-DSPE-based nanocarriers are employed in delivering drugs for thrombosis and cardiovascular conditions due to prolonged circulation times and reduced systemic toxicity
2007,https://doi.org/10.1021/bc700212b,Liposome,sialyl Lewis X (sLeX),SuLea-DSGA,Used as a glycolipid without a PEG spacer for initial targeting studies,Cardiovascular Diseases:PEG-DSPE-based nanocarriers are employed in delivering drugs for thrombosis and cardiovascular conditions due to prolonged circulation times and reduced systemic toxicity
2007,https://doi.org/10.1021/bc700212b,Liposome,sialyl Lewis X (sLeX),PEG-DSPE,"Prolongs circulation time, provides steric stability",Cardiovascular Diseases:PEG-DSPE-based nanocarriers are employed in delivering drugs for thrombosis and cardiovascular conditions due to prolonged circulation times and reduced systemic toxicity
2007,https://doi.org/10.1111/j.1742-1241.2007.01437.x,GLP-1 mimetic,GLP-1,exenatide,Subcutaneous injection for type II diabetes,Type II Diabetes:A GLP-1 receptor agonist that improves insulin secretion and reduces blood glucose levels.
2007,https://doi.org/10.1111/j.1742-1241.2007.01437.x,GLP-1 mimetic,GLP-1,liraglutide,Once daily dosing for type II diabetes,Obesity & Type II Diabetes:Enhances insulin sensitivity while promoting weight loss
2008,https://doi.org/10.1007/BFb0119258,Heparinoid Mimetic,heparinoid,Aprosulate,"underwent phase I clinical trials. Whereas the drug was well tolerated and efficacious, it was associated with increased transaminase levels","A synthetic glycosaminoglycan with anticoagulant properties. Prolongs activated partial thromboplastin time (aPTT) and inhibits platelet-induced thrombin generation, showing promise for thromboprophylaxis"
2008,https://doi.org/10.1007/BFb0119258,Heparinoid Mimetic,heparin,Sucrose octasulfate,"The basic aluminium salt of sucrose octasulfate, which is used as a drug (Sucralfate, Carafate) for the treatment of duodenal ulcers was claimed to exert part of its activity through the stabilization of FGF in stomach","Gastrointestinal Disorders:Protects against reflux esophagitis by forming a mucosal barrier, reducing acid-induced damage"
2008,https://doi.org/10.1007/BFb0119258,Heparinoid Mimetic,heparinoid,"6H-β-maltosyl-(1→4)-α,α-trehalose",high antiproliferative activity,"Tuberculosis (TB):Targets trehalose utilization pathways (TUPs) in Mycobacterium tuberculosis. Inhibits enzymes like OtsA/B2, critical for cell wall glycolipid synthesis"
2008,https://doi.org/10.1007/BFb0119258,Non-Carbohydrate Compounds,heparinoid,Suramin,"used as a drug to treat African trypanosomiasis and onchocerciasis (a filarial infection), it was also tested in a number of other
indications including adrenocortical carcinomas and AIDS",Prostate cancer (chemosensitizer with docetaxel)
2008,https://doi.org/10.1007/BFb0119258,Non-Carbohydrate Compounds,heparinoid,"1,3-propanediol disulfate",reduced inflammation-associated amyloid progression in vivo after oral administration which may be relevant to the treatment of Alzheimer's disease,Metabolic disorders: Enhances polyunsaturated fatty acid (PUFA) production in Schizochytrium for dietary supplementation
2008,https://doi.org/10.1128/CVI.00050-08,peptide mimic,Shigella flexneri Y O polysaccharide (PS),MDWNMHAA,"functional mimicry and a bound peptide conformation that was not represented significantly in the free-ligand ensemble; mice were
immunized using MDWNMHAA-TT as the immunogen, it showed anti-peptide antibody (immunoglobulin G [IgG]) titers that increased after being boosted, improve the immunogenicity of the carbohydrate-mimetic peptide
and confirming the antigenic mimicry",NA
2008,https://doi.org/10.2174/187152008783330851,Iminosugars,N-acetyl-D-glucosamine,"2-Acetamido-1,5-imino-1,2,5-trideoxy-D-glucitol",potent inhibitor of hexosaminidases.,"Lysosomal Storage Disorders:Potent inhibitor of β-N-acetylglucosaminidases, enzymes critical in glycosphingolipid metabolism. Targets fucosidosis and Sandhoff disease by reducing pathogenic substrate accumulation"
