 Paper Publish Year,DOI,Carbohydrate/Protein Mimetic,Category ,Mimic of which Protein/Carbohydrate,Name of the Mimetic,Functions,Activity
2007,https://doi.org/10.2174/156802607779318325,Protein,cyclic peptide,extracellular matrix proteins that contain the Arg-Gly-Asp (RGD) sequence,c(RGDfV),Integrin antagonist : blocks integrin αVβ3 receptor binding,Inhibits angiogenesis : prevents tumor-induced blood vessel formation
2007,https://doi.org/10.2174/156802607779318325,Protein,cyclic peptide,Disintegrins,ACDCRGDCFCG,acts as an integrin antagonist by blocking the binding of natural ligands to integrin receptors like αVβ3 and αIIbβ3.,"It inhibits cell adhesion and migration, disrupting processes such as angiogenesis and tumor progression."
2007,https://doi.org/10.2174/156802607779318325,Protein,peptide,clic pentapeptide,diketopiperazine (DKP),Mimics peptide structures to support functional side chains.,Acts as an antagonist (specifically for CXCR4).
2007,https://doi.org/10.1039/b710425a,Protein,Synthetic backbone scaffold,α-helices peptides,Terphenyl scaffold,Designed to project sidechain functionality similar to that found in α-helices.,Used as inhibitors of protein–protein interactions
2007,https://doi.org/10.1039/b710425a,Protein,Peptide mimetic,Respiratory syncytial virus (RSV) protein,Cyclic pentapeptide scaffold,Mimics the α-turns of the RSV protein.,"Inhibits fusion of viral and cell membranes, preventing viral entry into cells."
2007,https://doi.org/10.1039/b710425a,Protein,Peptide mimetic,α-helices peptides,Hydrazone-linked peptides,To stabilize α-helical structures by replacing the N-terminal i and i + 4 hydrogen bond with a covalent link,Forms well-defined short α-helices with minimal perturbations to molecular recognition surfaces.
2007,https://doi.org/10.1039/b710425a,Protein,Peptide mimetic,α-helices peptides,Carbon–Carbon Linked Peptides,Introduces a carbon–carbon bond to stabilize the helical structure.,"Results in well-defined short α-helices from sequences that do not spontaneously form helices, with minimal perturbations to their molecular recognition surfaces"
2007,https://doi.org/10.1152/ajpcell.00097.2007,Protein,Connexin mimetic peptide,Cx43,43Gap27,Inhibits gap junction channel formation,No acute effect but moderate long-term attenuation of membrane conductance
2007,https://doi.org/10.1152/ajpcell.00097.2007,Protein,Pannexin mimetic peptide,Pannexin-1,10Panx1,Blocks pannexin-1 channel activity,Inhibits pannexin-1 channels; used to study ATP release and intercellular calcium wave propagation
2007,https://doi.org/10.1002/anie.200700657,Protein,α-helix mimetic,Bak BH3 domain,"2,3’,3’’-trisubstituted terphenyls","Mimics i, i+4, and i+7 residues of an α-helix","Inhibits protein–helix interactions, such as Bcl-xL/Bak and MDM2/p53"
2007,https://doi.org/10.4161/auto.4237,Protein,BH3 mimetic,BH3,ABT737,"Competitively inhibits the interaction between Beclin 1 and Bcl-2/Bcl-XL, which stimulates autophagy","ABT737 disrupts the inhibitory complex between Beclin 1 and Bcl-2/Bcl-XL, thus promoting autophagy by liberating Beclin 1 from its inhibition"
2007,https://doi.org/10.1158/0008-5472.CAN-07-5173,Protein,Smac mimetic compound,Smac,LBW242,"argets inhibitor of apoptosis proteins (IAPs) such as XIAP and cIAP1, leading to the induction of apoptosis in cancer cells","induces apoptosis in cancer cells by activating caspase-8, increasing TNFa expression, and overcoming drug resistance."
2007,https://doi.org/10.1002/pbc.21433,Protein,small molecule,BH3,ABT-263,limited single agent in vivo activity against the PPTP’s solid tumor panels but showed significant activity against xenografts in the ALL panel,"inhibits the antiapoptotic proteins Bcl-2, Bcl-xL and Bcl-w, demonstrated in vitro activity against a range of cell lines, with the
ALL cell lines showing the greatest sensitivity"
2007,https://doi.org/10.1002/pbc.21433,Protein,small molecule,BH3,ABT-737,"exhibits single-agent preclinical activity against lymphoma, small-cell lung carcinoma, and chronic lymphocytic leukemia and displays synergistic cytotoxicity with chemotherapeutics and radiation.",Bcl-2 inhibitor
2007,https://doi.org/10.1371/journal.pmed.0040316,Protein,small molecule,BH3,ABT-737,"its addition significantly enhances killing of NSCLC cells by
the EGFR tyrosine kinase inhibitor gefitinib",EGFR tyrosine kinase inhibitor gefitinib.
2008,https://doi.org/10.1016/j.tetlet.2008.05.040,Carbohydrate,NA,a-L-rhamnopyranose,"3,5-di-O-benzyl-D-pinitol","Mimics α-L-rhamnopyranose unit in bioactive saccharides, interacts with dendritic cells, potential use in stable mimic of capsular polysaccharide in Streptococcus pneumoniae",Inhibits breast and prostate cancer growth via NF-κB/MMP-9 and FAK/c-Src pathways
2008,https://doi.org/10.1016/j.bmc.2007.11.036,Carbohydrate,Iminosugar,α-D-mannose,Swainsonine,Glycosidase inhibitor,"Cancer Therapy:Swainsonine inhibits α-mannosidase II, disrupting N-glycan processing and suppressing tumor metastasis"
2008,https://doi.org/10.1042/BST0361414,Protein,proteomimetic inhibitors,Bak/Bim BH3 Domains,"Trisubstituted 3,2,2-terphenyl derivatives",Mimics α-helical structure to disrupt protein–protein interactions,"central aryl ring adopts a staggered conformation, effectively mimicking the position and projection of i, i + 3 or i + 4 and i + 7 residues on one face of the helix"
2008,https://doi.org/10.1042/BST0361414,Protein,proteomimetic inhibitors,smMLCK (smooth muscle myosin light-chain kinase),The terphenyl scaffold,Disrupts protein–protein interactions,binds to calmodulin using an α-helical domain
2008,https://doi.org/10.2174/187152708783885174,Protein,Peptidomimetic,pharmacophores of mAb 5C3 and NGF peptide analogues,C59,"C59 (Wnt-C59) is a small-molecule inhibitor of the Wnt signaling pathway. It functions by targeting Porcupine (PORCN), a membrane-bound O-acyltransferase essential for the palmitoylation and secretion of Wnt proteins, thereby preventing both canonical and non-canonical Wnt-mediated signaling.",Lacked neurotrophic effects
2008,https://doi.org/10.1158/1535-7163.MCT-08-0285,Protein,Small molecule mimetic,BH3,ABT-737,restores sensitivity of Bcl-2-overexpressing cells but not Mcl-1- overexpressing cells to apoptotic stimuli,binds Bcl-2 and Bcl-xL but not Mcl-1
2008,https://doi.org/10.1158/1535-7163.MCT-08-0285,Protein,phosphomimetic,phosphorylated state of Mcl-1,phosphomimetic Mcl-1 protein (S64E),"use of the S64E protein is biologically relevant, as mouse and rat Mcl-1 wild-type proteins contain a glutamic acid at this position",Noxa binds much more strongly to S64E Mcl-1 than the unphosphorylatable S64A protein
2009,https://doi.org/10.1039/B914356D,Carbohydrate,Miscellaneous,mannose,"1,2-oxazines syn-8 ( Bicyclic ketones 15)","Bicyclic ketone 15 serves as an ideal starting point for the preparation of suitable substrates for the copper-catalyzed 1,3-dipolar cycloaddition of azides with alkynes, which is a key step in the synthesis of oligosaccharide mimetics","Cancer: Serve as intermediates for polyoxygenated oxepanes, which target cancer cell proliferation"
2009,https://doi.org/10.1039/B914356D,Carbohydrate,Miscellaneous,glucosamine,"1,2-oxazines anti syn-8 ( Bicyclic ketones 17)","The 1,2-oxazines syn-8, when exposed to Lewis acids, can be transformed into either bicyclic ketones 15 or tricyclic compounds 16, depending on the nature of the 4-alkoxy group [1]. Additionally, the 1,2-oxazines syn-8 and anti-8 can undergo Lewis acid-promoted rearrangements leading to bi- and tricyclic products","Cancer: Serve as intermediates for polyoxygenated oxepanes, which target cancer cell proliferation"
2009,https://doi.org/10.1021/ja810025g,Protein,α-helix mimetic,Bak bh3 domain,Hamilton Terphenyl Motif,"mimics the structural and recognition features of an R-helix, facilitating the design of various derivatives.","effectively present side chains at the i, i + 4, and i + 7 positions, which are critical for mimicking the natural interactions of R-helices in proteins"
2009,https://doi.org/10.1161/ATVBAHA.109.187518,Protein,Peptide Mimetic,ApoA-I,L-4F,ability to resist enzymatic degradation,"inhibit atherosclerotic lesions , binds niclosamide forming a very tight association that protects the peptide from trypsin digestion allowing L-4F absorption and biological activity after oral administration"
2009,https://doi.org/10.1097/CAD.0b013e32832ced78,Protein,Peptides,Smac,4–8 N-terminal residues of Smac,targets MCF-7 breast cancer cells,"combines with Paclitaxel, etoposide, SN-38,
or doxorubicin"
2009,https://doi.org/10.1097/CAD.0b013e32832ced78,Protein,Peptides,Smac,4 or 7 N-terminal residues of Smac,targets  Human acute leukemia Jurkat T cells,"combines with Epothilone B derivative
(BMS 247550) or Apo-2L/TRAIL"
2009,https://doi.org/10.1097/CAD.0b013e32832ced78,Protein,Peptides,Smac,7 N-terminal residues of Smac,targets  L428 and L540 human Hodgkin lymphoma cells,combines with Granzyme B
2009,https://doi.org/10.1097/CAD.0b013e32832ced78,Protein,Peptides,Smac,7 N-terminal residues of Smac with antenopedia sequence,targets Caki-1 renal carcinoma cells,combines with None or cisplatin
2009,https://doi.org/10.1097/CAD.0b013e32832ced78,Protein,Peptides,Smac,7 N-terminal residues of Smac conjugated to 8 arginine residues,"targets Suit-2, CFPAC-1, Panc1, and BxPC-3 pancreatic cancer cells (a) H460 non-small-cell lung cancer, (b) H460 xenograft mouse model","combines with (a) Cisplatin or taxol, (b) cisplatin"
2009,https://doi.org/10.1097/CAD.0b013e32832ced78,Protein,Peptides,Smac,7 N-terminal residues of Smac conjugated to the protein transduction domain of TAT protein,"targets (a) SHEP/Bcl-2 neuroblastoma, SH-SY5Y
neuroblastoma, Mel-HO melanoma, Panc1
pancreatic carcinoma, (b) U87 MG human
malignant glioma xenograft mouse model","combines with (a) TRAIL or doxorubicin, (b) TRAIL"
2009,https://doi.org/10.1097/CAD.0b013e32832ced78,Protein,Peptides,Smac,Polyvalent naı¨ve phage-derived peptide sequences based on N-terminus of Smac with natural and unnatural amino acid substitutions,targets ML-IAP-overexpressing melanoma cell lines,"The polyvalent naïve phage-derived peptide sequences based on the N-terminus of Smac (Second Mitochondrial Activator of Caspases) with natural and unnatural amino acid substitutions are designed to antagonize Inhibitor of Apoptosis Proteins (IAPs), such as XIAP, to restore caspase-mediated apoptosis in cancer cells"
2009,https://doi.org/10.1097/CAD.0b013e32832ced78,Protein,Polynucleotides,Smac,Flag-C-tagged mature Smac pcDNA3.1,targets K562 and CEM human leukaemic cells,combines with Ultraviolet light or TRAIL
2009,https://doi.org/10.1097/CAD.0b013e32832ced78,Protein,Polynucleotides,Smac,Flag-C-tagged full-length Smac,targets NC65 and Caki-1 renal carcinoma cells,combines with TRAIL or cisplatin
2009,https://doi.org/10.1097/CAD.0b013e32832ced78,Protein,Polynucleotides,Smac,pcDNA3.1,targets Human acute leukemia Jurkat T cells,combines with Epothilone B derivative (BMS 247550) or Apo-2L/TRAIL
2009,https://doi.org/10.1016/j.biomaterials.2008.09.040,Protein,homopolymers or copolymers,Elastin,VPGVG,Mimics the natural flexibility and biocompatibility of elastin for implant-related applications,Does not induce significant inflammatory or allergic reactions; not recognized as an antigenic epitope of elastin
2009,https://doi.org/10.1007/s11883-009-0008-8,Protein,peptide,Apolipoprotein A-I (apoA-I),4F Peptides,Increases formation of pre-β HDL; enhances cholesterol efflux; reduces lipoprotein oxidation; improves antioxidants and vascular repair; reduces renal inflammation,"Improves vasodilation, oxidative stress, myocardial inflammation, and angiogenic potential in various models; reduces adiposity and improves insulin sensitivity in obese mice; improves HDL inflammatory properties in humans with coronary heart disease"
2009,https://doi.org/10.1002/bip.21164,Protein,Cyclic ligand-mimetic,Arg-Gly-Asp (RGD) peptide,Cilengitide,"Binds to and inhibits avβ3 and avβ5 integrins, inhibiting endothelial interactions and angiogenesis",Currently in clinical trials for the treatment of glioblastoma
2009,https://doi.org/10.1002/ejoc.200900599,Protein,β-Substituted amino acids,"tryptophan residues in α-helical domains of proteins,",β-MeTrp,an increased biological stability of the modified peptides,comparably higher activity
2009,https://doi.org/10.1002/ejoc.200900599,Protein,side-chain-modified amino acids,tryptophan (Trp) or phenylalanine (Phe),2-naphthylalanine,This compound in combination with other unnatural amino acids can be used for the synthesis of Gonadotropin-releasing hormone (GnRH) antagonists,show a high affinity to the receptor
2009,https://doi.org/10.1002/ejoc.200900599,Protein,naturally occurring protease inhibitor,NA,OF4949-III,"exhibits immunopotentiating activity and were confirmed to have antitumor activity, without showing toxicity",competitive inhibitor for aminopeptidase B
2009,https://doi.org/10.1158/1535-7163.MCT-09-0493,Protein,small-molecule,BH3,HA14-1,promising anticancer agent,able to inhibit the activity of antiapoptotic Bcl-2 family proteins
2010,https://doi.org/10.1517/17460441.2010.497811,Carbohydrate,iminosugar,mannose,swainsonine,anticancer drug with the potential of treating glioma [120] and gastric carcinoma,Lung cancer: Inhibits A549 cell growth in vitro and reduces xenograft tumor volume in vivo
2010,https://doi.org/10.1016/B978-0-12-374546-0.00047-X,Carbohydrate,Iminosugars,mannose,Swainsonine,Swainsonine functions as a glycosidase inhibitor,"Cancer:Inhibits α-mannosidase II, disrupting N-glycan processing and suppressing tumor metastasis in preclinical models"
2010,https://doi.org/10.4155/fmc.10.8,Carbohydrate,inhibitor,glucosidase,Swainsonine,used as an anticancer drug with potential for treating glicoma and stomach cancer,"Cancer:Inhibits α-mannosidase II, disrupting N-glycan processing and suppressing tumor metastasis in preclinical models"
2010,https://doi.org/10.1016/j.cbpa.2010.07.017,Protein,Synthetic receptor,"
Mutant p53 (p53-R337H)",amphiphilic calixarenes embedded in chromatic phospholipid/polydiacetylene (PDA) vesicles,Induces changes in vesicle absorption spectra,Multivalent interactions
2010,https://doi.org/10.1016/j.cbpa.2010.07.017,Protein,Porphyrin-based receptor,"Metaloproteins (e.g., cytochrome c, myoglobin)",TCPP-based receptors,Binding to protein surfaces,Fluorescence quenching upon binding
2010,https://doi.org/10.1016/j.cbpa.2010.07.017,Protein,Nanoparticle-based receptor,TAT (HIV transactivator of transcription),Gold nanoparticles conjugated to b-galactosidase,Nanoparticle-based receptor,Disruption of enzyme-NP interaction
2010,https://doi.org/10.1016/j.cbpa.2010.07.017,Protein,Nucleic acid-based receptor,red fluorescent protein,DNA G-quadruplexes,Monitoring changes in fluorescence,Changes in emission of fluorophores
2010,https://doi.org/10.4155/fmc.10.259,Protein,Venom-derived peptide,NA,Chlorotoxin,capable of blocking chloride channels,"binds exclusively to glioma cells, opening the possibility for treatment and diagnosis of particular cancers."
2010,https://doi.org/10.2174/138920310791330622,Protein,Peptide,β-Strand Motifs (PCSK9/LDLR Interaction),Trisubstituted imidazole scaffolds,inhibition of Bcl proteinprotein interactions,disrupt the interaction of Bcl-w and Bak-BH3
2010,https://doi.org/10.2174/138920310791330622,Protein,Helical mimetic,Bak BH3 domain,Trispyridylamide scaffold,"antagonist of Bcl-xL,",bifurcated hydrogen-bonding network as well as the minimization of destabilizing conformations allows for the observed geometry
2010,https://doi.org/10.2174/138920310791330622,Protein,Helical mimetic,α-helical BH3 domain of the pro-apoptotic protein Bak,Terephthalamide scaffold,antagonist of Bcl-xL,stablilized by an intramolecular hydrogen bond
2010,https://doi.org/10.2174/138920310791330622,Protein,Small molecule mimetic,α-helical BH3 domain of the pro-apoptotic protein Bak,"1,4-benzodiazepine-2,5-dione derivatives (BZD)",mimics the critical helical peptide side chains of a known peptide substrate of HDM2,bind to HDM2
2010,https://doi.org/10.2174/138920310791330622,Protein,Small molecule mimetic,CDK6,3-hydroxymethylindole,block ligand binding to MAGI3-PDZ2,to block the interaction of PTEN-MAGI3-PDZ2 was investigated via fluorescence polarization
2010,https://doi.org/10.2174/138920310791330622,Protein,alpha-helix mimetics,hydrophobic helix D region of CD81,Bisimidazole scaffolds,intramolecular hydrogen bond stabilizes the amide group substituents in a conformation which closely matches the side chain separations on one face of an -helix,utilized to disrupt the interaction of CD81 and HCV-E2.
2010,https://doi.org/10.1016/j.addr.2010.04.007,Protein,elastin-mimetic triblock copolymer,elastin,B9,Drug delivery,"Monodisperse size distribution, spherical shape"
2011,https://doi.org/10.1039/C1OB05583F,Carbohydrate,Mixed-Type Oligosaccharides,d-fructose,acyclic aminopolyols,"Acyclic aminopolyols function as carbohydrate mimetics used to enhance selectin binding properties. They are attached to gold colloids and sulfated to improve ligand-receptor interactions. These sulfated colloids exhibit strong selectin binding properties and no signs of cytotoxicity, serving as a valuable example of improved ligand-receptor interactions when presented multivalently","Diabetes, Viral Infections, Cancer: Synthesized via biocatalytic amination of sugars, these compounds act as carbohydrate mimetics for diabetes management, antiviral therapies, and antitumor agents"
2011,https://doi.org/10.1073/pnas.1105057108,Carbohydrate,peptide,Lewis A carbohydrate,"I-peptide, which is a 7-mer peptide","The function of I-peptide, which is a 7-mer peptide, is to inhibit sialyl Lewis X-dependent colonization by binding to a receptor distinct from E- or P-selectins. It was found to bind to a 15 kDa fragment of annexin 1 (Anxa1), which is a highly specific marker of the tumor vasculature surface","Cancer: Targets annexin 1 (Anxa1) on tumor vasculature for drug delivery. Conjugated to SN-38 (chemotherapy drug), it suppresses colon cancer (HCT116) growth in mice"
2011,https://sci-hub.se/10.1055/s-0030-1260139,Carbohydrate,imino sugar derivative,oligosaccharide,"2,6-functionalized pyranoid glycoaminoxy acid","The 2,6-functionalized pyranoid glycoaminoxy acid serves as a building block for the construction of novel 2,6-linked oligosaccharide mimetics. It is used for chemical ligations with various amines, carboxylic acids, or aldehydes through amide, oxime, or oxyamine bonds, respectively. This makes it a useful tool for the synthesis of oligosaccharide mimetics with potentially diverse practical application",Cancer: Used to synthesize oligosaccharide mimetics that inhibit tumor growth and metastasis
2011,https://doi.org/10.1134/S1068162011060100,Carbohydrate,Mixed-Type Oligosaccharides,heparinoids,Sulfated Phosphomannan PI88,"Sulfated phosphomannan PI88 functions as a heparanase inhibitor and an angiogenesis inhibitor. It blocks the action of heparanase, which is involved in cancer cell metastasis, and interacts with growth factors (FGF-1, FGF-2, VEGF) and their receptors (FGFR) to inhibit angiogenesis","Hepatocellular Carcinoma (HCC): Inhibits heparanase, reducing tumor growth and metastasis in clinical trials"
2011,https://doi.org/10.1134/S1068162011060100,Carbohydrate,Mixed-Type Oligosaccharides,heparinoids,sulfated hexasaccharide,"Sulfated hexasaccharides play diverse biological roles due to their structural and sulfation patterns. Neurodevelopment: Promote cerebellar Purkinje cell growth and neurite outgrowth by interacting with neurotrophic factors like pleiotrophin.Growth Factor Modulation: Mimic heparan sulfate to regulate fibroblast growth factor 2 (FGF-2) activity, influencing cell proliferation and disease pathways.Immune Regulation: Inhibit selectins (L-, E-, and P-selectins) to modulate inflammation, lymphocyte homing, and tumor metastasis.","Cancer Metastasis: Dual inhibition of heparanase and selectins, blocking tumor cell spread"
2011,https://doi.org/10.1016/j.cbpa.2011.02.015,Protein,b-hairpin mimetics,LptD (outer membrane protein),Bcl-2,Targets outer membrane biogenesis,Inhibits LPS transport to the outer membrane
2011,https://doi.org/10.1016/j.cbpa.2011.02.015,Protein,CAMP Mimetics,Defensins,Oligomeric aryl ureas,Antimicrobial properties,mechanisms differ in effectiveness
2011,https://doi.org/10.1016/j.drup.2007.08.002,Protein,small-molecule BH3 mimetics,BH3,HA14-1,"Targets leukemia, myeloma, glioblastoma, prostate cancer",Inhibits Bcl-2
2011,https://doi.org/10.1016/j.drup.2007.08.002,Protein,small-molecule BH3 mimetics,BH3,BH3-Is,"Targets leukemia, prostate cancer, non-small cell lung cancer",Inhibits Bcl-XL
2011,https://doi.org/10.1016/j.drup.2007.08.002,Protein,small-molecule BH3 mimetics,BH3,Antimycin A,Targets leukemia and cervical cancer,"Inhibits Bcl-2, Bcl-XL"
2011,https://doi.org/10.1016/j.drup.2007.08.002,Protein,small-molecule BH3 mimetics,BH3,Gossypol,"Targets leukemia, lymphoma, glioblastoma, prostate cancer","Inhibits Bcl-2, Bcl-XL, Mcl-1"
2011,https://doi.org/10.1016/j.drup.2007.08.002,Protein,small-molecule BH3 mimetics,BH3,Apogossypol,"Targets leukemia, lymphoma, glioblastoma, prostate cancer","Inhibits Bcl-2, Bcl-XL, Mcl-1"
2011,https://doi.org/10.1016/j.drup.2007.08.002,Protein,small-molecule BH3 mimetics,BH3,TW-37,"Targets leukemia, lymphoma, glioblastoma, prostate cancer","Inhibits Bcl-2, Bcl-XL, Mcl-1"
2011,https://doi.org/10.1016/j.drup.2007.08.002,Protein,small-molecule BH3 mimetics,BH3,GX015-070,"Targets leukemia, lymphoma, myeloma, lung cancer","Inhibits Bcl-2, Bcl-XL, Mcl-1"
2011,https://doi.org/10.1016/j.drup.2007.08.002,Protein,small-molecule BH3 mimetics,BH3,ABT-737,"Targets leukemia, lymphoma, lung cancer, breast cancer","Inhibits Bcl-2, Bcl-XL, Bcl-w"
2011,https://doi.org/10.1021/jm101651b,Protein,Bivalent,smac,"(S,3S,3′S,6S,6′S,10aS,10a′S)-N,N′-((1S,1′S)-(1,1′-(1,4- phenylenebis(methylene))bis(1H-1,2,3-triazole-4,1- diyl))bis(phenylmethylene))bis(6-((S)-2-(methylamino)propanamido)-5- oxodecahydropyrrolo[1,2-a]azocine-3-carboxamide)",Induces degradation of cIAP2,Fails to induce caspase-3 processing at 30 nM
2011,https://doi.org/10.1021/jm101651b,Protein,Bivalent,smac,"(S,3S,3′S,6S,6′S,10aS,10a′S)-N,N′-((1S,1′S)-(1,1′-(1,4-phenylenebis(ethane-2,1- diyl))bis(1H-1,2,3-triazole-4,1-diyl))bis(phenylmethylene))bis(6-((S)-2- (methylamino)propanamido)-5-oxodecahydropyrrolo[1,2-a]azocine-3- carboxamide)",Induces degradation of cIAP1/2,Limited effect on cIAP1 degradation at 30 nM
2011,https://doi.org/10.1021/jm101651b,Protein,Bivalent,smac,"(S,3S,3′S,6S,6′S,10aS,10a′S)-N,N′-((1S,1′S)-(1,1′-(1,4- phenylenebis(propane-3,1-diyl))bis(1H-1,2,3-triazole-4,1- diyl))bis(phenylmethylene))bis(6-((S)-2-(methylamino)propanamido)-5- oxodecahydropyrrolo[1,2-a]azocine-3-carboxamide)",Induces degradation of cIAP1,Induces PARP cleavage and caspase-3 processing
2011,https://doi.org/10.1021/jm101651b,Protein,Bivalent,smac,"(S,3S,3′S,6S,6′S,10aS,10a′S)-N,N′-((1S,1′S)-(1,1′-(1,4-phenylenebis(hexane-6,1-
diyl))bis(1H-1,2,3-triazole-4,1-diyl))bis(phenylmethylene))bis(6-((S)-2-
(methylamino)propanamido)-5-oxodecahydropyrrolo[1,2-a]azocine-3-
carboxamide)",Induces degradation of cIAP1/2,Robust activity at low concentrations
2011,https://doi.org/10.1021/jm101651b,Protein,Bivalent,smac,"(S,3S,3′S,6S,6′S,10aS,10a′S)-N,N′-((1S,1′S)-(1,1′-(oxybis(pentane-5,1- diyl))bis(1H-1,2,3-triazole-4,1-diyl))bis(phenylmethylene))bis(6-((S)-2- (methylamino)propanamido)-5-oxodecahydropyrrolo[1,2-a]azocine-3- carboxamide)",Antagonist of IAPs,Completely inhibits tumor growth in MDA-MB-231 xenografts
2011,https://doi.org/10.1021/jm101651b,Protein,Bivalent,smac,"(3S,6S,10aS)-6-((R)-2-acetamido-3-(1H-indol-3-yl)propanamido)-N-((S)-(1-(4-(4- (4-(4-((S)-((3S,6S,10aS)-6-((R)-2-(methylamino)propanamido)-5- oxodecahydropyrrolo[1,2-a]azocine-3-carboxamido)(phenyl)methyl)-1H-1,2,3- triazol-1-yl)butyl)phenyl)butyl)-1H-1,2,3-triazol-4-yl)(phenyl)methyl)-5- oxodecahydropyrrolo[1,2-a]azocine-3-carboxamide",Several times less potent than the most potent bivalent mimetics,"The compound (3S,6S,10aS)-6-((R)-2-acetamido-3-(1H-indol-3-yl)propanamido)-N-((S)-(1-(4-(4-(4-(4-((S)-((3S,6S,10aS)-6-((R)-2-(methylamino)propanamido)-5-oxodecahydropyrrolo[1,2-a]azocine-3-carboxamido)(phenyl)methyl)-1H-1,2,3-triazol-1-yl)butyl)phenyl)butyl)-1H-1,2,3-triazol-4-yl)(phenyl)methyl)-5-oxodecahydropyrrolo[1,2-a]azocine-3-carboxamide is a bivalent Smac mimetic designed to antagonize inhibitor of apoptosis proteins (IAPs) such as XIAP, cIAP1, and cIAP2. Its activity centers on restoring apoptosis in cancer cells by mimicking the AVPI tetrapeptide motif of the Smac protein, which naturally binds IAPs to neutralize their anti-apoptotic effects."
